departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global;distrito
La Libertad;Trujillo;130107;4g;entel;4g;"{""area_garant"": 1.5735, ""area_adicio"": 99.9512}";27.4658;1.5735;99.9512;100;99.857496885557;Moche
La Libertad;Trujillo;130107;4g;movistar;4g;"{""area_garant"": 99.8505, ""area_adicio"": 99.9208}";27.4658;99.8505;99.9208;100;99.857496885557;Moche
La Libertad;Trujillo;130107;5g;bitel;5g;"{""area_garant"": 19.7252, ""area_adicio"": 79.8741}";27.4658;19.7252;79.8741;91.476026058383;19.725224704392;Moche
La Libertad;Trujillo;130107;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";27.4658;0;0;91.476026058383;19.725224704392;Moche
La Libertad;Trujillo;130107;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 54.7818}";27.4658;0;54.7818;91.476026058383;19.725224704392;Moche
La Libertad;Trujillo;130107;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";27.4658;0;0;91.476026058383;19.725224704392;Moche
La Libertad;Trujillo;130108;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";150.7413;0;0;74.17360049903;26.920371749376;Poroto
La Libertad;Trujillo;130108;2g;claro;2g;"{""area_garant"": 23.4087, ""area_adicio"": 62.5486}";150.7413;23.4087;62.5486;74.17360049903;26.920371749376;Poroto
La Libertad;Trujillo;130108;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 6.7603}";150.7413;0;6.7603;74.17360049903;26.920371749376;Poroto
La Libertad;Trujillo;130108;2g;movistar;2g;"{""area_garant"": 3.5117, ""area_adicio"": 18.9919}";150.7413;3.5117;18.9919;74.17360049903;26.920371749376;Poroto
La Libertad;Trujillo;130108;3g;bitel;3g;"{""area_garant"": 63.865, ""area_adicio"": 78.8415}";150.7413;63.865;78.8415;87.931353895204;64.150307263654;Poroto
La Libertad;Trujillo;130108;3g;claro;3g;"{""area_garant"": 20.2419, ""area_adicio"": 56.0865}";150.7413;20.2419;56.0865;87.931353895204;64.150307263654;Poroto
La Libertad;Trujillo;130108;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 29.8667}";150.7413;0;29.8667;87.931353895204;64.150307263654;Poroto
