departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global
Amazonas;Luya;0105XX;4g;bitel;4g;"{""area_garant"": 27.3169, ""area_adicio"": 53.0281}";3312.3918;27.3169;53.0281;85.459201554427;30.650576381469
Amazonas;Luya;0105XX;4g;claro;4g;"{""area_garant"": 2.0623, ""area_adicio"": 35.088}";3312.3918;2.0623;35.088;85.459201554427;30.650576381469
Amazonas;Luya;0105XX;4g;entel;4g;"{""area_garant"": 2.7465, ""area_adicio"": 60.2296}";3312.3918;2.7465;60.2296;85.459201554427;30.650576381469
Amazonas;Luya;0105XX;4g;movistar;4g;"{""area_garant"": 1.6728, ""area_adicio"": 58.4605}";3312.3918;1.6728;58.4605;85.459201554427;30.650576381469
Amazonas;Luya;0105XX;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3312.3918;0;0;0;0
Amazonas;Luya;0105XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3312.3918;0;0;0;0
Amazonas;Luya;0105XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3312.3918;0;0;0;0
Amazonas;Luya;0105XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3312.3918;0;0;0;0
Amazonas;Rodríguez;0106XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";2584.993;0;0;66.348055532578;28.716762162764
Amazonas;Rodríguez;0106XX;2g;claro;2g;"{""area_garant"": 0.0202, ""area_adicio"": 41.3746}";2584.993;0.0202;41.3746;66.348055532578;28.716762162764
Amazonas;Rodríguez;0106XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 30.0972}";2584.993;0;30.0972;66.348055532578;28.716762162764
Amazonas;Rodríguez;0106XX;2g;movistar;2g;"{""area_garant"": 28.697, ""area_adicio"": 60.7217}";2584.993;28.697;60.7217;66.348055532578;28.716762162764
Amazonas;Rodríguez;0106XX;3g;bitel;3g;"{""area_garant"": 37.1814, ""area_adicio"": 47.1225}";2584.993;37.1814;47.1225;51.431468442988;38.282225264062
